snapshot_date,product_id,store_id,supplier_id,qty_on_hand,qty_on_order,reorder_level,unit_cost
2025-07-11,20109,132,5,427,5,36,38.2
2025-05-19,20582,125,16,397,11,27,198.44
2025-06-21,20423,118,28,479,54,92,145.27
2025-10-31,20297,149,39,458,58,36,49.74
2025-08-11,20039,111,33,41,94,79,5.43
2024-05-18,20230,147,42,267,6,46,148.12
2025-01-22,20089,123,49,499,77,93,48.85
2026-01-18,20008,149,9,251,92,96,33.24
2024-11-26,20059,105,30,174,13,21,244.49
2024-10-11,20330,105,46,339,76,41,126.57
2024-06-19,20445,140,37,47,66,32,175.3
2025-12-22,20052,119,11,387,35,86,63.29
2025-02-06,20209,130,7,293,96,67,86.0
2025-01-01,20290,132,15,213,57,87,97.51
2024-04-25,20547,122,15,133,85,82,20.51
2026-03-10,20027,147,8,216,49,31,198.81
2026-03-05,20059,148,20,297,18,39,34.14
2025-12-24,20020,136,13,474,34,38,168.75
2024-12-05,20131,101,17,232,91,56,194.6
2025-07-23,20135,134,8,239,87,79,134.59
2024-10-03,20197,145,1,271,93,74,144.89
2024-03-23,20140,105,10,214,80,100,157.12
2024-08-13,20448,145,26,105,7,91,96.28
2026-02-21,20324,135,17,386,2,78,68.19
2025-01-20,20276,109,41,160,82,66,235.27
2026-01-16,20203,107,42,75,52,54,10.66
2025-07-28,20496,138,2,443,17,91,223.53
2026-02-25,20503,106,38,193,11,20,160.43
2025-01-25,20169,135,7,68,89,95,100.21
2025-08-05,20423,137,47,361,84,82,122.12
2025-10-19,20279,134,6,233,93,54,166.8
2024-10-30,20121,128,41,441,67,87,118.96
2025-04-15,20514,130,2,287,6,84,241.02
2025-12-18,20474,126,45,227,30,94,12.36
2025-11-10,20236,132,6,9,33,61,187.64
2025-01-19,20594,124,31,431,27,32,168.99
2025-08-14,20579,140,3,125,60,68,61.26
2024-09-16,20087,137,1,262,37,89,132.86
2026-02-12,20499,100,40,19,0,95,91.02
2024-12-30,20043,146,43,178,49,72,236.09
2024-12-23,20505,105,5,424,36,24,37.14
2024-12-15,20567,149,15,483,13,34,93.34
2025-03-18,20504,128,46,482,38,64,133.36
2024-07-07,20402,143,37,36,94,49,26.62
2025-11-13,20528,139,23,311,76,36,161.29
2025-05-24,20067,117,50,284,71,46,195.89
2025-07-12,20012,117,15,395,6,23,46.07
2025-05-15,20014,137,41,153,6,52,238.28
2025-03-01,20516,107,16,7,49,75,213.23
2026-02-07,20181,142,20,443,88,31,138.8
2024-06-27,20342,124,13,301,87,63,201.54
2024-08-06,20170,127,36,5,1,53,202.66
2025-07-28,20593,113,45,170,45,98,62.29
2024-06-24,20299,114,5,355,83,65,184.36
2024-04-05,20060,146,22,455,14,43,14.05
2024-05-30,20456,107,26,232,9,71,199.32
2024-12-25,20530,118,27,210,45,43,168.93
2025-02-20,20055,127,8,353,22,88,111.66
2024-11-11,20058,145,4,332,31,46,89.74
2025-04-28,20332,100,17,118,30,57,105.79
2024-04-22,20313,104,36,346,37,61,88.33
2025-12-22,20081,110,15,399,64,34,11.58
2025-02-20,20148,143,6,291,3,40,32.83
2025-11-13,20455,126,31,485,75,38,182.16
2025-04-20,20181,139,40,407,64,76,6.81
2025-03-16,20289,132,45,185,92,38,131.21
2024-05-10,20452,130,46,89,19,41,176.58
2026-02-23,20085,108,33,200,87,65,55.61
2025-11-29,20566,145,17,236,32,28,141.21
2024-05-21,20426,127,42,377,58,66,138.79
2025-11-29,20052,138,44,250,42,40,123.28
2025-08-10,20539,111,45,108,47,94,215.56
2025-12-14,20461,113,11,270,74,71,33.06
2025-05-26,20440,124,30,250,17,39,59.0
2024-08-30,20171,105,18,321,69,52,113.09
2024-11-15,20338,124,9,462,79,34,219.6
2024-05-11,20120,131,7,487,45,82,74.71
2024-07-30,20308,110,20,138,69,39,160.59
2024-08-23,20037,112,24,362,7,67,108.35
2025-12-26,20034,124,3,226,74,29,212.95
2025-06-04,20053,103,32,272,28,97,204.4
2025-05-14,20154,103,15,126,34,30,23.8
2025-09-05,20306,144,7,98,12,97,217.73
2026-01-20,20384,146,50,295,40,78,133.4
2025-11-14,20157,109,13,242,39,64,160.58
2024-12-11,20402,110,31,56,78,31,109.25
2025-05-31,20461,129,7,165,69,44,240.48
2025-07-30,20196,148,5,403,68,69,43.11
2024-04-07,20161,121,27,367,66,57,225.17
2025-09-30,20509,140,43,90,51,74,53.64
2025-04-08,20427,140,1,82,10,54,8.83
2024-07-28,20108,137,24,480,42,41,87.12
2025-07-14,20079,113,26,168,40,61,41.19
2024-06-20,20532,134,9,292,66,27,239.39
2024-03-18,20306,138,40,136,43,90,159.51
2024-10-23,20514,135,31,121,55,22,71.23
2024-06-06,20445,122,36,272,95,64,167.11
2025-12-26,20535,145,26,405,96,48,16.27
2025-03-15,20289,140,35,59,45,70,236.96
2025-05-30,20071,146,34,206,91,33,234.47
2024-06-26,20088,108,39,219,7,99,145.71
2025-03-15,20417,126,16,483,0,92,162.51
2025-07-29,20208,131,25,114,23,54,184.23
2025-10-11,20095,108,30,399,29,20,115.17
2024-07-18,20121,111,23,488,78,68,63.65
2024-09-08,20550,119,12,284,60,46,140.08
2025-12-10,20551,120,36,177,31,47,114.46
2024-07-21,20302,111,33,251,25,22,31.79
2024-06-10,20067,147,47,265,78,31,188.63
2025-04-16,20272,104,26,204,16,58,195.54
2025-07-15,20245,133,30,345,13,24,240.05
2024-07-18,20391,147,32,113,23,24,186.26
2026-01-03,20246,112,33,95,26,49,42.67
2024-06-13,20108,108,28,434,58,72,122.95
2024-06-05,20459,102,27,246,36,88,112.42
2024-05-06,20467,136,22,38,51,64,243.95
2024-07-29,20550,113,21,441,94,95,146.57
2025-06-18,20411,124,44,436,3,94,227.68
2025-11-26,20572,134,12,188,45,49,21.48
2025-10-11,20398,109,29,56,86,62,36.78
2025-12-19,20364,138,2,261,48,59,77.3
2024-12-13,20391,140,19,124,91,47,116.91
2025-05-03,20179,123,50,466,98,42,103.64
2024-12-03,20310,108,14,119,1,83,217.52
2024-07-26,20485,117,45,142,23,89,92.49
2026-01-27,20080,115,3,9,26,35,239.42
2025-08-19,20448,123,8,255,34,39,24.15
2025-05-30,20425,115,40,326,31,87,132.68
2025-10-05,20007,128,39,477,55,20,103.88
2025-04-28,20588,137,13,161,15,74,99.4
2025-03-05,20215,107,21,366,66,62,127.81
2025-04-28,20297,132,1,360,48,40,242.2
2025-03-27,20553,106,43,300,66,50,217.6
2024-04-22,20565,121,20,266,15,89,116.75
2024-07-27,20428,143,6,337,21,85,115.02
2026-03-08,20503,105,43,130,67,36,40.94
2025-11-23,20313,134,15,94,79,70,71.85
2026-01-05,20260,107,26,146,38,43,88.46
2024-06-19,20257,122,42,383,43,87,67.28
2024-06-29,20518,146,34,308,51,31,43.89
2025-01-19,20487,149,43,13,7,75,47.88
2025-07-14,20105,134,45,218,53,93,113.66
2024-06-10,20328,112,5,196,5,95,187.98
2026-01-27,20598,101,29,310,95,48,212.05
2024-07-21,20592,143,1,231,100,28,8.96
2024-06-13,20305,149,1,102,70,75,247.41
2025-01-26,20519,146,39,423,11,97,186.0
2024-03-30,20234,111,36,16,89,82,36.39
2025-08-11,20295,143,15,204,75,60,29.37
2024-03-27,20339,139,36,62,50,47,231.5
2025-08-05,20373,124,40,67,45,59,230.65
2024-03-17,20090,122,7,182,63,26,241.2
2025-01-08,20559,130,26,169,34,98,67.54
2025-06-07,20116,107,24,99,79,64,151.66
2024-05-29,20422,111,45,341,48,28,177.94
2024-06-15,20191,149,24,238,0,63,21.93
2024-05-25,20469,102,18,195,12,91,63.8
2024-12-20,20008,129,36,409,45,91,150.48
2026-01-27,20104,127,45,401,56,28,62.88
2024-11-13,20362,137,22,115,18,56,6.99
2025-04-28,20363,137,47,249,49,76,62.05
2024-07-09,20124,100,39,485,62,54,151.6
2024-03-29,20380,100,21,3,25,95,178.77
2025-11-07,20433,102,34,394,3,34,240.1
2025-06-04,20452,144,7,190,76,24,133.78
2026-03-10,20593,110,20,126,34,73,173.78
2025-07-21,20088,117,17,150,39,51,174.12
2025-02-04,20569,113,10,354,60,82,214.06
2024-08-07,20565,124,40,176,34,56,230.76
2025-03-06,20230,134,44,196,22,84,164.01
2024-06-26,20305,130,36,481,93,38,198.93
2024-04-05,20302,125,47,367,7,64,12.41
2024-04-04,20566,101,4,420,45,71,247.82
2024-04-26,20069,146,27,383,5,77,34.5
2024-05-16,20197,139,13,465,58,22,132.88
2025-04-01,20212,120,17,23,64,53,125.13
2026-02-04,20001,135,13,231,72,37,156.63
2026-02-09,20563,136,42,227,75,65,196.42
2024-11-17,20349,147,44,389,80,81,179.08
2025-10-20,20477,139,20,368,90,35,85.74
2024-04-02,20077,141,13,151,22,52,32.24
2024-05-18,20582,109,25,387,0,57,192.36
2025-01-14,20448,104,28,208,30,53,153.73
2025-04-25,20247,141,28,461,53,79,196.82
2025-12-06,20366,100,6,448,68,100,48.83
2024-03-26,20375,111,8,447,45,54,190.59
2025-09-09,20165,114,13,73,83,25,142.22
2025-10-22,20201,139,48,8,6,82,71.66
2024-11-08,20083,102,7,337,85,39,147.14
2025-12-31,20020,127,39,236,54,44,235.94
2024-08-22,20280,126,23,332,55,95,92.27
2025-03-21,20446,140,13,468,77,90,129.7
2026-03-04,20490,146,48,42,62,28,217.02
2026-02-09,20327,126,2,428,72,43,85.4
2024-06-17,20544,107,22,109,1,42,158.37
2024-08-12,20305,107,16,228,47,58,96.54
2025-02-16,20125,101,33,235,31,81,98.22
2026-01-26,20015,100,44,299,68,26,171.27
2024-08-05,20362,102,33,474,75,70,41.97
2025-02-13,20255,112,49,258,23,50,175.33
2025-09-20,20032,115,17,195,95,45,132.38
2025-06-14,20059,106,14,210,18,41,192.91
2025-06-15,20254,133,5,142,72,58,71.83
2024-12-18,20293,116,18,460,8,51,35.31
2025-02-22,20098,124,39,303,75,38,217.3
2024-05-01,20399,123,2,465,29,90,148.82
2024-11-01,20024,135,39,285,96,95,221.07
2025-12-09,20269,118,13,133,20,37,151.31
2024-09-26,20559,126,34,273,19,30,58.57
2025-07-04,20591,133,2,33,14,31,77.37
2025-09-17,20295,143,16,49,73,37,178.14
2025-09-19,20137,136,3,308,39,84,140.23
2025-01-06,20225,148,6,162,73,59,134.27
2024-03-25,20303,147,5,463,16,87,224.4
2024-06-11,20182,103,25,166,75,67,47.94
2025-02-21,20491,120,23,433,82,68,118.97
2025-09-25,20034,145,9,137,37,53,165.24
2025-11-07,20542,137,26,184,39,32,135.16
2024-08-03,20469,117,4,398,61,55,126.4
2026-01-30,20103,104,47,463,21,32,168.09
2025-12-14,20594,116,3,313,70,22,166.75
2024-04-20,20045,118,34,438,39,97,235.29
2025-07-23,20217,113,26,347,5,69,181.15
2024-10-17,20110,128,47,478,89,68,212.23
2024-03-11,20023,147,40,157,59,37,147.52
2024-08-04,20322,121,14,149,46,73,146.74
2024-05-30,20393,145,47,425,2,45,132.02
2024-06-13,20308,135,7,248,96,51,136.36
2025-10-15,20504,107,18,396,11,22,138.5
2025-12-08,20050,132,24,456,63,41,68.54
2024-05-28,20281,134,8,294,91,67,107.18
2026-01-26,20059,119,32,50,24,95,190.35
2025-04-21,20127,121,33,334,12,37,186.66
2024-08-21,20371,114,35,156,16,76,131.77
2025-01-05,20242,145,19,305,41,56,69.44
2025-10-18,20272,131,30,4,18,84,46.19
2026-01-21,20245,122,17,461,54,28,203.3
2024-10-19,20283,146,33,302,71,49,85.27
2024-07-20,20148,142,14,175,99,77,220.41
2024-08-22,20543,129,4,214,33,85,9.02
2025-06-12,20196,149,11,25,15,78,89.89
2024-03-25,20063,109,15,66,39,37,211.1
2025-06-30,20494,108,5,194,40,44,51.57
2025-08-14,20363,106,10,361,3,28,33.47
2025-06-30,20460,141,13,306,14,46,185.05
2025-06-24,20231,120,24,15,94,31,73.11
2025-12-28,20067,105,37,280,50,63,160.24
2024-03-27,20570,115,18,353,83,37,140.35
2024-03-14,20302,107,22,317,21,95,176.22
2025-11-29,20409,110,50,288,67,91,135.03
2024-09-20,20147,107,23,480,3,45,146.1
2025-02-21,20268,118,6,212,22,57,64.77
2024-06-01,20551,106,9,440,71,54,83.01
2025-07-30,20412,111,46,161,15,60,177.98
2024-04-04,20432,111,41,403,24,48,188.03
2024-10-25,20579,126,26,318,8,92,45.27
2025-09-15,20229,110,25,192,16,66,232.68
2024-07-22,20363,143,33,74,16,87,247.41
2025-06-29,20277,139,38,325,18,20,166.85
2025-10-25,20536,112,21,226,8,73,191.16
2025-11-29,20584,136,15,229,51,59,170.95
2025-11-22,20252,122,27,417,28,29,137.95
2024-05-24,20304,132,5,431,30,83,92.98
2024-03-20,20358,114,3,370,2,31,5.88
2024-03-26,20203,143,27,128,34,58,196.78
2025-01-11,20158,108,32,112,33,59,46.02
2024-12-31,20139,130,45,378,69,40,152.32
2024-08-01,20072,144,3,134,49,43,52.84
2025-04-01,20071,107,25,267,7,66,106.94
2024-11-09,20092,114,33,253,50,85,140.84
2024-06-28,20255,145,24,482,100,51,104.17
2024-12-22,20194,136,47,427,85,88,248.32
2026-02-03,20386,121,18,446,43,85,196.98
2025-09-30,20403,142,26,413,46,29,61.08
2024-12-12,20350,112,34,318,73,21,66.02
2024-12-28,20425,140,28,257,77,35,163.7
2024-03-27,20091,132,6,277,88,82,177.0
2024-05-29,20078,108,42,399,84,55,205.85
2024-09-07,20354,119,28,353,71,29,243.91
2025-02-07,20031,148,49,157,51,89,12.79
2025-09-10,20221,142,49,97,21,53,229.43
2025-07-28,20222,145,7,278,90,57,224.46
2024-10-07,20170,137,36,177,23,99,156.23
2024-05-09,20380,111,25,282,34,80,220.81
2024-10-11,20047,109,33,481,52,85,203.35
2024-11-15,20527,107,5,463,43,77,38.83
2025-01-11,20451,122,10,122,39,52,40.54
2024-07-23,20383,149,5,368,79,82,170.52
2024-10-10,20503,149,44,19,93,42,170.82
2025-02-06,20435,133,37,62,63,61,230.22
2024-11-30,20425,116,43,194,4,41,86.55
2025-05-25,20312,117,7,48,14,29,147.44
2024-08-13,20052,127,45,316,50,20,86.79
2024-09-13,20104,122,22,494,34,62,86.68
2024-03-21,20252,102,46,483,62,39,197.38
2024-09-10,20336,134,41,443,1,66,169.5
2025-04-12,20151,139,25,170,39,82,44.51
2025-02-10,20412,112,3,454,5,91,9.97
2024-08-21,20339,129,37,69,33,34,224.71
2024-06-22,20352,136,23,437,89,48,179.19
2025-05-01,20508,138,43,361,94,26,48.09
2024-10-08,20580,103,17,37,50,84,53.99
2025-04-01,20143,129,8,244,12,43,245.56
2025-08-20,20432,124,30,201,52,42,159.45
2024-09-19,20253,137,30,44,42,63,223.74
2025-04-11,20130,125,19,36,8,48,21.9
2025-09-20,20592,112,2,173,95,97,189.14
2026-02-28,20581,106,9,2,73,75,128.11
2025-04-26,20415,119,28,355,17,53,37.53
2024-08-22,20250,138,1,138,50,78,231.55
2026-01-26,20091,106,46,276,80,82,27.41
2026-01-07,20461,136,5,410,58,56,35.81
2025-02-24,20091,117,36,299,81,86,17.66
2024-06-11,20255,103,5,233,12,25,81.0
2025-02-16,20169,142,4,201,80,38,171.87
2025-08-07,20205,117,2,328,7,74,246.33
2024-07-12,20325,126,32,299,36,77,165.82
2025-04-22,20221,120,15,399,76,61,26.55
2024-09-08,20455,112,7,228,54,69,33.51
2026-02-14,20303,118,2,289,69,86,132.24
2024-04-11,20397,139,41,255,83,99,179.93
2024-10-15,20565,122,21,147,49,58,224.91
2025-02-06,20265,111,23,38,54,81,175.8
2025-09-22,20278,122,20,466,64,24,48.0
2025-12-25,20551,102,25,132,61,56,133.21
2026-01-14,20561,137,40,299,49,47,89.46
2024-03-13,20402,128,9,113,20,86,234.98
2025-08-07,20590,115,42,182,62,88,157.45
2025-08-11,20052,143,39,230,64,33,157.06
2024-04-13,20583,124,22,360,75,84,169.08
2024-08-07,20552,123,1,13,2,56,5.72
2025-10-27,20262,135,18,144,18,50,159.86
2024-08-14,20534,111,23,66,56,47,119.87
2024-11-05,20563,143,21,408,52,95,122.46
2024-10-19,20502,101,27,386,62,53,20.73
2025-04-10,20118,143,3,301,88,24,248.2
2025-11-29,20477,108,8,69,64,99,222.92
2025-08-25,20079,102,23,110,9,95,97.61
2025-11-22,20132,139,40,146,51,21,144.39
2025-06-30,20019,136,8,340,84,22,166.55
2025-12-16,20154,133,45,380,4,95,89.11
2025-01-10,20185,104,47,302,10,69,146.96
2025-11-25,20297,126,36,311,72,59,78.81
2025-11-26,20025,138,40,276,26,33,138.77
2024-04-17,20456,121,32,15,29,31,194.63
2025-07-03,20139,149,48,21,19,22,159.84
2026-02-02,20492,127,36,24,35,33,97.26
2024-09-18,20388,129,16,483,56,60,242.44
2025-01-28,20476,106,29,35,49,67,123.61
2024-07-22,20540,142,28,270,74,57,133.71
2025-09-05,20037,116,30,273,65,35,57.64
2025-07-30,20543,116,33,57,36,76,112.72
2024-10-01,20374,106,24,40,37,91,171.13
2024-06-11,20275,111,49,34,22,66,149.57
2025-06-22,20239,113,32,22,71,60,216.62
2025-04-29,20068,146,37,247,77,87,231.29
2024-05-16,20403,132,33,473,24,83,12.13
2025-10-11,20425,137,11,308,56,29,26.3
2025-01-21,20510,145,20,301,88,66,248.4
2025-04-20,20561,147,48,188,49,74,39.33
2025-11-02,20321,133,31,316,61,33,55.27
2024-04-12,20155,138,31,200,1,95,119.7
2025-05-23,20067,148,28,289,23,24,224.54
2025-02-06,20202,136,36,150,45,89,83.83
2025-07-18,20512,127,6,42,83,94,59.2
2024-06-04,20080,113,30,257,61,35,73.58
2024-08-08,20056,101,47,250,24,77,106.81
2024-03-11,20538,143,21,266,73,85,6.93
2025-01-02,20068,113,22,270,82,100,163.64
2024-04-14,20546,143,33,86,87,69,74.45
2025-05-18,20227,111,44,366,10,88,249.57
2025-03-15,20184,130,32,469,59,75,125.04
2025-01-15,20557,100,8,34,36,54,202.21
2025-05-21,20522,140,15,222,96,49,97.46
2024-03-14,20582,113,17,451,16,41,218.78
2025-11-23,20504,136,27,126,49,34,73.36
2025-08-17,20212,142,34,361,70,50,137.52
2024-11-28,20529,143,11,405,61,64,192.82
2025-05-28,20243,124,14,286,49,63,153.85
2024-09-30,20013,119,7,456,32,93,130.38
2024-09-24,20023,108,23,187,9,42,182.55
2024-07-10,20066,127,46,331,79,99,121.06
2025-11-16,20260,108,38,317,31,100,24.11
2024-09-06,20325,135,49,322,88,73,46.48
2025-11-10,20524,113,48,413,47,37,73.3
2024-10-11,20575,148,46,323,20,40,146.6
2024-03-11,20231,149,44,388,77,37,100.14
2025-12-27,20021,120,37,243,10,76,231.95
2025-11-01,20160,134,46,416,15,69,94.07
2025-03-21,20318,101,47,414,55,67,241.57
2025-08-24,20085,144,30,397,20,73,156.52
2026-03-03,20210,141,11,498,1,90,199.9
2025-10-24,20110,138,12,188,92,50,68.63
2025-10-12,20160,138,35,261,41,35,184.67
2026-02-13,20169,130,48,33,32,38,11.11
2024-11-08,20112,123,45,289,60,22,144.58
2024-06-19,20041,111,29,150,84,81,231.89
2025-10-20,20034,116,38,153,47,45,152.37
2025-11-25,20508,104,26,332,18,65,59.0
2025-04-24,20575,102,16,182,46,80,141.01
2025-11-01,20501,135,10,105,6,57,230.58
2025-03-05,20327,121,1,410,13,28,142.15
2024-04-15,20379,116,46,53,26,53,47.05
2026-02-20,20590,139,1,291,26,45,50.23
2025-11-17,20473,110,1,175,87,67,157.67
2024-03-20,20163,116,44,365,52,25,214.31
2024-12-09,20169,118,16,284,89,100,240.77
2026-01-05,20547,133,33,480,54,59,227.43
2025-03-06,20339,149,16,137,69,36,233.45
2025-03-14,20482,119,13,305,57,96,159.06
2025-07-17,20237,140,45,306,83,51,108.82
2024-06-05,20236,106,28,449,87,93,185.25
2025-07-30,20393,147,43,41,59,80,92.03
2026-01-29,20590,133,30,460,19,66,96.78
2024-05-15,20509,107,18,439,98,39,248.84
2025-02-25,20416,105,28,53,94,28,224.34
2025-08-27,20165,145,23,377,41,21,34.76
2025-10-14,20164,132,2,275,42,93,205.44
2024-10-12,20496,102,17,5,41,37,220.57
2025-12-07,20529,114,21,156,59,82,234.91
2026-02-10,20115,108,17,334,50,81,167.63
2024-11-10,20075,134,16,235,36,89,80.38
2025-07-14,20197,103,34,487,10,52,21.04
2025-08-23,20213,104,2,252,24,37,214.61
2024-07-30,20020,130,28,23,63,87,159.16
2025-09-30,20080,145,17,298,20,100,64.23
2025-09-30,20507,132,19,460,34,98,100.21
2025-05-01,20144,106,13,69,35,24,53.04
2025-12-15,20523,108,47,390,19,82,20.28
2025-10-04,20205,119,33,467,53,84,142.76
2025-11-14,20050,102,25,284,95,95,127.94
2025-01-18,20453,138,32,326,31,82,55.03
2025-07-06,20199,127,22,165,99,84,246.42
2024-10-02,20252,114,34,185,3,84,156.62
2025-05-17,20106,141,4,454,26,39,166.17
2025-04-07,20541,120,22,185,74,92,139.8
2024-06-13,20361,136,10,355,56,93,225.73
2025-12-16,20184,106,47,347,57,75,17.94
2025-03-29,20167,132,29,377,46,57,76.82
2025-09-03,20058,143,9,412,75,29,105.89
2025-01-14,20310,123,26,489,39,78,127.13
2025-07-10,20163,120,42,402,32,89,241.0
2024-09-10,20586,100,18,387,4,81,162.17
2025-10-02,20391,107,1,453,26,74,230.04
2025-08-17,20534,111,16,146,13,68,163.95
2024-08-08,20357,116,16,351,47,32,225.39
2025-03-01,20334,130,31,200,22,54,33.93
2024-11-22,20044,117,1,416,23,30,9.04
2025-09-30,20257,137,23,99,23,41,131.13
2024-04-08,20266,125,48,413,28,66,134.62
2025-07-09,20375,147,47,447,46,84,109.14
2025-03-11,20004,142,18,288,87,99,186.77
2024-09-04,20365,121,41,49,18,68,123.54
2024-11-18,20133,128,42,252,91,32,132.37
2024-08-24,20311,141,34,207,35,61,208.8
2025-11-28,20158,149,15,347,42,60,128.78
2025-05-26,20191,117,44,4,59,40,237.51
2025-08-19,20369,139,28,173,69,30,163.39
2025-10-21,20062,127,42,8,16,61,60.08
